canonical_email,business_name_clean,region,business_size,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment
quotes@heritageteamweargroup1.example,Heritage Teamwear Group #1484,South,Solo owner/operator,Under $50k,1,<2,3,Promotional products,Corporate/commercial,Hybrid/job costing,Quarterly,4,2,3,2,3,14,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,1,1,2,1,2,0,1,2,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Hybrid/job costing,B2B,Real Labor,South
owner@oakstudioshop.example,Oak Studio Shop,South,6-10 employees,Prefer not to say,15,11-20,8,Contract embroidery,Contract/B2B,Stitch-count based,Unknown,4,4,3,2,2,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,1,2,1,1,1,1,6-10 employees,Unknown,Veteran (11-20),Stitch-count based,B2B,Capacity Pressure,South
hello@prairiemonogramsshop15.example,Prairie Monograms Shop #1580,South,2-5 employees,Unknown,24,21+,10,Team/school spiritwear,Schools/teams,Value-based,Before every quote,4,3,4,4,4,19,Strong Pricing System,True,False,False,False,,2,2,1,2,2,2,2,2,2,2,2-5 employees,Unknown,Legacy (21+),Value-based,Mixed,Real Labor,South
quotes@willowstudiostudio1403.example,Willow Studio Studio #1403,Northeast,6-10 employees,$100k-$250k,0,<2,2,Team/school spiritwear,Mixed,Informal/custom quote,Rarely/never,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,2,1,1,1,1,1,1,1,1,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,Northeast
contact@riverlogoshopllc1548.example,River Logo Shop Llc #1548,South,Unknown,$50k-$100k,9,6-10,1,Decorated apparel,Mostly consumers,Cost-plus,Quarterly,1,0,1,0,1,3,Pricing Blind Spots,False,True,True,True,,1,0,0,0,0,1,0,0,0,1,Unknown,Under $100k,Established (4-10),Cost-plus,Consumer,Real Labor,South
office4@prairiethreadsllc1648.example,Prairie Threads Llc #1648,Northeast,2-5 employees,Under $50k,12,11-20,1,Custom embroidery,Contract/B2B,Cost-plus,Quarterly,3,2,3,3,4,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,1,1,1,1,2,1,2,2,2,2-5 employees,Under $100k,Veteran (11-20),Cost-plus,B2B,Real Labor,Northeast
contact0@urbanmonogramscollecti.example,Urban Monograms Collective #1385,Northeast,2-5 employees,$500k-$1M,2,2-5,4,Mixed services,Contract/B2B,Stitch-count based,When costs change,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,2,1,1,1,1,1,1,1,1,2-5 employees,$500k+,Newcomer (0-3 yrs),Stitch-count based,B2B,Real Labor,Northeast
info1@riverthreadscollective.example,River Threads Collective,West,6-10 employees,$500k-$1M,1,<2,6,Custom embroidery,Mixed,Informal/custom quote,Unknown,0,1,0,0,0,1,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,0,0,0,1,0,0,0,0,0,0,6-10 employees,$500k+,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Production Cost,West
owner3@summitcustomsgroup.example,Summit Customs Group,South,6-10 employees,$250k-$500k,13,11-20,5,Decorated apparel,Corporate/commercial,Competitor-based,When costs change,2,2,2,0,2,8,Partial Pricing System,False,False,False,True,Rush jobs are where we get into trouble.,1,1,1,1,1,1,0,0,1,1,6-10 employees,$100k-$500k,Veteran (11-20),Competitor-based,B2B,Capacity Pressure,South
office@hooplogoshopgroup.example,Hoop Logo Shop Group,West,2-5 employees,$100k-$250k,12,11-20,2,Decorated apparel,Mostly consumers,Unknown,Rarely/never,4,4,2,2,2,14,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,2,2,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Consumer,Intended Profit,West
contact@brightembroidery1595.example,Bright Embroidery #1595,West,2-5 employees,$100k-$250k,11,11-20,2,Custom embroidery,Unknown,Stitch-count based,When costs change,3,2,2,2,1,10,Partial Pricing System,False,False,False,False,,2,1,1,1,1,1,1,1,0,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,End Customer Value,West
hello5@ironcustomscompany.example,Iron Customs Company,Midwest,Solo owner/operator,Under $50k,6,6-10,2,Mixed services,Mostly consumers,Cost-plus,When costs change,4,3,3,1,3,14,Partial Pricing System,False,False,False,True,We are trying to stop undercharging.,2,2,2,1,2,1,1,0,2,1,Solo owner/operator,Under $100k,Established (4-10),Cost-plus,Consumer,Capacity Pressure,Midwest
info@threadstitchcollc1573.example,Thread Stitch Co. Llc #1573,Canada/Other,Solo owner/operator,$250k-$500k,20,11-20,1,Custom embroidery,Corporate/commercial,Stitch-count based,Annually,2,3,2,2,2,11,Partial Pricing System,False,False,False,False,,1,1,2,1,1,1,1,1,1,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,B2B,Production Cost,Canada/Other
hello@lakesidedesignsstudio.example,Lakeside Designs Studio,South,2-5 employees,$250k-$500k,20,11-20,3,Custom embroidery,Mostly consumers,Value-based,When costs change,4,2,4,4,4,18,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,1,1,2,2,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Value-based,Consumer,Real Labor,South
contact@hoopteamwearshop.example,Hoop Teamwear Shop,West,2-5 employees,$100k-$250k,0,<2,3,Decorated apparel,Mostly consumers,Competitor-based,Annually,2,1,1,1,1,6,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,1,1,0,1,0,1,1,0,1,0,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Consumer,Real Labor,West
sales@urbandesignsstudio1578.example,Urban Designs Studio #1578,South,2-5 employees,Under $50k,12,11-20,1,Custom embroidery,Mostly consumers,Value-based,Annually,3,4,2,2,3,14,Partial Pricing System,False,False,False,False,,2,1,2,2,1,1,1,1,1,2,2-5 employees,Under $100k,Veteran (11-20),Value-based,Consumer,Intended Profit,South
quotes@ironcreativegroup.example,Iron Creative Group,West,Solo owner/operator,Prefer not to say,1,<2,3,Mixed services,Small business/local orgs,Stitch-count based,Rarely/never,2,0,0,0,1,3,Pricing Blind Spots,False,True,True,True,,1,1,0,0,0,0,0,0,1,0,Solo owner/operator,Unknown,Newcomer (0-3 yrs),Stitch-count based,Mixed,Real Labor,West
office6@ironmonogramscompany13.example,Iron Monograms Company #1370,West,2-5 employees,$50k-$100k,6,6-10,4,Contract embroidery,Corporate/commercial,Stitch-count based,Annually,3,2,2,2,3,12,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,1,1,1,1,0,2,2,1,2-5 employees,Under $100k,Established (4-10),Stitch-count based,B2B,Real Labor,West
hello@brightneedleworksllc16.example,Bright Needleworks Llc #1613,South,2-5 employees,Under $50k,11,11-20,5,Contract embroidery,Contract/B2B,Value-based,Before every quote,3,3,3,2,4,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,1,2,2,1,2,1,1,1,2,2,2-5 employees,Under $100k,Veteran (11-20),Value-based,B2B,Capacity Pressure,South
owner@hoopteamwearstudio1656.example,Hoop Teamwear Studio #1656,Unknown,2-5 employees,$100k-$250k,2,2-5,5,Unknown,Schools/teams,Informal/custom quote,Rarely/never,2,0,0,0,1,3,Pricing Blind Spots,False,True,True,True,,1,1,0,0,0,0,0,0,1,0,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,Unknown
quotes@luckyteamwearcollectiv.example,Lucky Teamwear Collective,Midwest,2-5 employees,$100k-$250k,13,11-20,3,Decorated apparel,Contract/B2B,Cost-plus,Annually,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,1,1,1,1,1,1,0,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,Capacity Pressure,Midwest
office@urbancreativecompany.example,Urban Creative Company,Midwest,2-5 employees,$100k-$250k,7,6-10,3,Custom embroidery,Small business/local orgs,Informal/custom quote,When costs change,2,1,2,2,1,8,Partial Pricing System,False,True,False,False,,1,1,1,0,1,1,1,1,0,1,2-5 employees,$100k-$500k,Established (4-10),Informal/custom quote,Mixed,Real Labor,Midwest
hello@blueridgestitchcocolle.example,Blue Ridge Stitch Co. Collective,Northeast,Solo owner/operator,$50k-$100k,15,11-20,5,Mixed services,Mostly consumers,Informal/custom quote,Annually,3,3,2,2,2,12,Partial Pricing System,False,False,False,False,,1,2,2,1,1,1,1,1,1,1,Solo owner/operator,Under $100k,Veteran (11-20),Informal/custom quote,Consumer,Intended Profit,Northeast
hello@stitchteamwearcollecti.example,Stitch Teamwear Collective #1371,Midwest,2-5 employees,$500k-$1M,12,11-20,4,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,3,2,2,2,3,12,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,1,1,1,1,1,1,1,2,1,2-5 employees,$500k+,Veteran (11-20),Cost-plus,Mixed,Real Labor,Midwest
hello@redbarnlogoshopshop.example,Red Barn Logo Shop Shop,Canada/Other,2-5 employees,$100k-$250k,10,6-10,8,Mixed services,Mostly consumers,Stitch-count based,Annually,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,1,1,2,2,2,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Consumer,Intended Profit,Canada/Other
contact@blueridgeapparelllc.example,Blue Ridge Apparel Llc,South,2-5 employees,$500k-$1M,15,11-20,10,Team/school spiritwear,Small business/local orgs,Informal/custom quote,When costs change,2,2,2,0,2,8,Partial Pricing System,False,False,False,True,Most customers compare us by stitch count.,1,1,1,1,1,1,0,0,1,1,2-5 employees,$500k+,Veteran (11-20),Informal/custom quote,Mixed,Capacity Pressure,South
owner@bobbinprintstitchgroup.example,Bobbin Print & Stitch Group #1495,Northeast,6-10 employees,$250k-$500k,12,11-20,8,Contract embroidery,Mixed,Value-based,Annually,3,4,3,4,4,18,Strong Pricing System,True,False,False,False,,1,2,2,2,2,1,2,2,2,2,6-10 employees,$100k-$500k,Veteran (11-20),Value-based,Mixed,Production Cost,Northeast
owner@stitchprintstitchshop1.example,Stitch Print & Stitch Shop #1694,West,Solo owner/operator,$50k-$100k,5,2-5,1,Custom embroidery,Mixed,Hybrid/job costing,Quarterly,4,2,2,3,3,14,Partial Pricing System,False,False,False,False,,2,2,1,1,1,1,2,1,2,1,Solo owner/operator,Under $100k,Established (4-10),Hybrid/job costing,Mixed,Real Labor,West
owner@redbarnthreadsshop.example,Red Barn Threads Shop,West,Solo owner/operator,Under $50k,0,<2,1,Contract embroidery,Mixed,Stitch-count based,Rarely/never,2,1,0,0,0,3,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,1,1,0,1,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Intended Profit,West
contact2@riverwearablesgroup156.example,River Wearables Group #1569,South,Solo owner/operator,$100k-$250k,8,6-10,1,Custom embroidery,Small business/local orgs,Unknown,Annually,3,2,2,1,2,10,Partial Pricing System,False,False,False,True,Rush jobs are where we get into trouble.,1,2,1,1,1,1,0,1,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Unknown,Mixed,Capacity Pressure,South
sales@oakcustomscompany1709.example,Oak Customs Company #1709,Midwest,2-5 employees,Unknown,23,21+,2,Contract embroidery,Contract/B2B,Unknown,When costs change,2,1,0,1,1,5,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,1,1,0,0,0,1,0,1,0,2-5 employees,Unknown,Legacy (21+),Unknown,B2B,Intended Profit,Midwest
office@heritagestitchcoshop16.example,Heritage Stitch Co. Shop #1619,West,2-5 employees,$100k-$250k,12,11-20,2,Decorated apparel,Schools/teams,Stitch-count based,Annually,4,4,4,4,3,19,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,2,2,2,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,End Customer Value,West
hello@crowndesignscompany.example,Crown Designs Company,West,6-10 employees,$500k-$1M,19,11-20,6,Mixed services,Schools/teams,Competitor-based,Rarely/never,3,2,1,1,2,9,Partial Pricing System,False,False,True,True,Rush jobs are where we get into trouble.,2,1,1,1,1,0,1,0,1,1,6-10 employees,$500k+,Veteran (11-20),Competitor-based,Mixed,Intended Profit,West
contact2@oakbrandingshop1436.example,Oak Branding Shop #1436,Midwest,Solo owner/operator,$100k-$250k,12,11-20,2,Mixed services,Schools/teams,Cost-plus,When costs change,4,2,4,2,3,15,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,1,1,2,2,1,1,1,2,Solo owner/operator,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Real Labor,Midwest
quotes@urbanworkscollective.example,Urban Works Collective,Midwest,Solo owner/operator,Unknown,13,11-20,2,Decorated apparel,Schools/teams,Unknown,When costs change,2,0,1,0,0,3,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,1,1,0,0,1,0,0,0,0,0,Solo owner/operator,Unknown,Veteran (11-20),Unknown,Mixed,Real Labor,Midwest
owner6@pineembroidery1454.example,Pine Embroidery #1454,South,2-5 employees,Unknown,16,11-20,3,Custom embroidery,Mostly consumers,Cost-plus,Unknown,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,1,1,1,1,1,1,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Cost-plus,Consumer,Production Cost,South
quotes@northstardecoratedgood.example,North Star Decorated Goods Shop #1507,Northeast,Solo owner/operator,$50k-$100k,16,11-20,1,Promotional products,Contract/B2B,Stitch-count based,Rarely/never,2,2,2,1,2,9,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,1,1,1,1,0,2,0,1,1,1,Solo owner/operator,Under $100k,Veteran (11-20),Stitch-count based,B2B,Capacity Pressure,Northeast
info@luckywearablesgroup168.example,Lucky Wearables Group #1685,South,2-5 employees,Unknown,3,2-5,2,Contract embroidery,Contract/B2B,Hybrid/job costing,Unknown,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,1,2,1,1,1,1,1,1,1,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Hybrid/job costing,B2B,Real Labor,South
quotes@mapledigitizing.example,Maple Digitizing,Midwest,Unknown,Prefer not to say,1,<2,2,Contract embroidery,Mixed,Unknown,Quarterly,3,3,2,1,3,12,Partial Pricing System,False,False,False,True,We are trying to stop undercharging.,1,2,1,2,1,1,0,1,1,2,Unknown,Unknown,Newcomer (0-3 yrs),Unknown,Mixed,Capacity Pressure,Midwest
owner3@cedarcreative1493.example,Cedar Creative #1493,Midwest,Solo owner/operator,$50k-$100k,0,<2,1,Custom embroidery,Small business/local orgs,Cost-plus,Quarterly,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,1,2,2,2,2,1,2,2,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Cost-plus,Mixed,Real Labor,Midwest
info@urbanwearablescollecti.example,Urban Wearables Collective #1649,South,2-5 employees,$50k-$100k,1,<2,3,Custom embroidery,Mostly consumers,Informal/custom quote,When costs change,3,2,2,0,2,9,Partial Pricing System,False,False,False,True,Rush jobs are where we get into trouble.,2,1,1,1,1,1,0,0,1,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Consumer,Capacity Pressure,South
hello@brightneedleworksstudi.example,Bright Needleworks Studio #1526,Canada/Other,Unknown,$100k-$250k,3,2-5,2,Unknown,Corporate/commercial,Unknown,When costs change,2,0,0,0,1,3,Pricing Blind Spots,False,True,True,True,,1,1,0,0,0,0,0,0,0,1,Unknown,$100k-$500k,Newcomer (0-3 yrs),Unknown,B2B,Real Labor,Canada/Other
office4@northstarmonogramsgrou.example,North Star Monograms Group #1662,South,Solo owner/operator,Under $50k,1,<2,1,Decorated apparel,Mixed,Stitch-count based,Rarely/never,2,2,1,2,1,8,Partial Pricing System,False,False,True,False,,1,1,1,1,0,1,1,1,1,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Intended Profit,South
sales@heritagedecoratedgoods.example,Heritage Decorated Goods Studio,Midwest,Solo owner/operator,$50k-$100k,10,6-10,1,Promotional products,Corporate/commercial,Hybrid/job costing,Annually,3,2,2,2,1,10,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,1,1,1,1,1,1,1,0,1,Solo owner/operator,Under $100k,Established (4-10),Hybrid/job costing,B2B,End Customer Value,Midwest
quotes@hoopteamwearcollective.example,Hoop Teamwear Collective,Midwest,Solo owner/operator,Unknown,2,2-5,3,Decorated apparel,Mixed,Stitch-count based,When costs change,3,2,2,1,2,10,Partial Pricing System,False,False,False,True,Rush jobs are where we get into trouble.,2,1,1,1,1,1,0,1,1,1,Solo owner/operator,Unknown,Newcomer (0-3 yrs),Stitch-count based,Mixed,Capacity Pressure,Midwest
office0@redbarndesignsllc.example,Red Barn Designs Llc,Midwest,2-5 employees,$50k-$100k,20,11-20,12,Mixed services,Schools/teams,Stitch-count based,Quarterly,4,4,4,3,3,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,2,2,2,1,2,1,2-5 employees,Under $100k,Veteran (11-20),Stitch-count based,Mixed,Capacity Pressure,Midwest
sales@magnoliawearablescolle.example,Magnolia Wearables Collective,South,2-5 employees,Under $50k,2,2-5,4,Mixed services,Schools/teams,Stitch-count based,Annually,2,0,0,0,1,3,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,1,1,0,0,0,0,0,0,0,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Real Labor,South
owner@blueridgethreadscollec.example,Blue Ridge Threads Collective #1564,South,2-5 employees,$100k-$250k,0,<2,2,Decorated apparel,Corporate/commercial,Cost-plus,Annually,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,B2B,Real Labor,South
hello@sunrisedesignscollecti.example,Sunrise Designs Collective #1506,Canada/Other,2-5 employees,Under $50k,2,2-5,1,Custom embroidery,Mixed,Stitch-count based,When costs change,4,3,3,1,2,13,Partial Pricing System,False,False,False,True,Most customers compare us by stitch count.,2,2,1,2,1,2,1,0,1,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Capacity Pressure,Canada/Other
quotes@oakstitchcollc1538.example,Oak Stitch Co. Llc #1538,South,2-5 employees,$100k-$250k,14,11-20,1,Promotional products,Small business/local orgs,Unknown,When costs change,3,2,2,2,1,10,Partial Pricing System,False,False,False,False,,2,1,1,1,1,1,1,1,0,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Mixed,End Customer Value,South
office@mainstreetstitchcocoll.example,Main Street Stitch Co. Collective,South,2-5 employees,$100k-$250k,23,21+,24,Custom embroidery,Corporate/commercial,Cost-plus,When costs change,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,B2B,Production Cost,South
owner3@maplewearablescollecti.example,Maple Wearables Collective,South,2-5 employees,$100k-$250k,0,<2,6,Mixed services,Mixed,Stitch-count based,Quarterly,4,3,3,2,2,14,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,2,2,1,1,2,1,1,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Capacity Pressure,South
quotes@lakesidethreadsllc1490.example,Lakeside Threads Llc #1490,South,2-5 employees,$100k-$250k,20,11-20,12,Mixed services,Small business/local orgs,Value-based,Annually,4,4,3,2,4,17,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,1,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Value-based,Mixed,Capacity Pressure,South
contact@needleworks.example,Needle Works,Northeast,2-5 employees,$100k-$250k,27,21+,3,Custom embroidery,Mostly consumers,Stitch-count based,When costs change,4,4,3,3,3,17,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,2,1,1,2,2-5 employees,$100k-$500k,Legacy (21+),Stitch-count based,Consumer,Intended Profit,Northeast
contact@maplebrandingstudio158.example,Maple Branding Studio #1588,Canada/Other,6-10 employees,$100k-$250k,2,2-5,2,Custom embroidery,Small business/local orgs,Stitch-count based,Unknown,3,4,2,2,2,13,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,1,2,2,1,1,1,1,1,1,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Intended Profit,Canada/Other
info6@ironcreativegroup1482.example,Iron Creative Group #1482,Northeast,Unknown,$100k-$250k,9,6-10,1,Contract embroidery,Small business/local orgs,Stitch-count based,Rarely/never,0,1,1,0,0,2,Pricing Blind Spots,False,True,True,True,,0,0,1,0,0,1,0,0,0,0,Unknown,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Production Cost,Northeast
info@cedarworkscompany.example,Cedar Works Company,Midwest,6-10 employees,$500k-$1M,8,6-10,10,Custom embroidery,Contract/B2B,Cost-plus,When costs change,3,4,2,4,4,17,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,1,2,2,2,1,1,2,2,2,2,6-10 employees,$500k+,Established (4-10),Cost-plus,B2B,Intended Profit,Midwest
office@needlewearablesshop143.example,Needle Wearables Shop #1439,West,Solo owner/operator,$250k-$500k,8,6-10,3,Unknown,Unknown,Stitch-count based,Annually,2,2,1,1,2,8,Partial Pricing System,False,False,True,True,Pricing is the hardest part of the business.,1,1,1,1,0,1,1,0,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Intended Profit,West
hello@sunrisecustomscompany.example,Sunrise Customs Company,Midwest,Solo owner/operator,$50k-$100k,33,21+,3,Custom embroidery,Schools/teams,Unknown,Rarely/never,2,2,2,1,1,8,Partial Pricing System,False,False,False,True,Pricing is the hardest part of the business.,1,1,1,1,1,1,1,0,0,1,Solo owner/operator,Under $100k,Legacy (21+),Unknown,Mixed,Capacity Pressure,Midwest
info@lakesidecreativellc.example,Lakeside Creative Llc,West,2-5 employees,$50k-$100k,19,11-20,4,Custom embroidery,Small business/local orgs,Value-based,Annually,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,2,1,2,2,2-5 employees,Under $100k,Veteran (11-20),Value-based,Mixed,Capacity Pressure,West
quotes@lakesidelogoshopcompan.example,Lakeside Logo Shop Company #1645,Northeast,Solo owner/operator,$50k-$100k,15,11-20,1,Custom embroidery,Schools/teams,Cost-plus,Unknown,3,4,3,2,3,15,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,1,2,2,2,1,1,1,2,1,Solo owner/operator,Under $100k,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,Northeast
quotes@blueridgestitchco.example,Blue Ridge Stitch Co.,Northeast,Solo owner/operator,$50k-$100k,2,2-5,2,Promotional products,Small business/local orgs,Informal/custom quote,When costs change,3,4,2,2,4,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,1,2,2,1,1,1,1,2,2,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Intended Profit,Northeast
info@oakworkscompany.example,Oak Works Company,West,Solo owner/operator,$100k-$250k,5,2-5,3,Custom embroidery,Mixed,Cost-plus,Unknown,3,1,2,2,2,10,Partial Pricing System,False,True,False,False,,1,2,1,0,1,1,1,1,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Cost-plus,Mixed,Real Labor,West
info@willowdigitizingshop15.example,Willow Digitizing Shop #1522,West,2-5 employees,$100k-$250k,20,11-20,15,Decorated apparel,Contract/B2B,Cost-plus,Before every quote,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,2,2,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,Production Cost,West
quotes@bobbinteamwearcollecti.example,Bobbin Teamwear Collective #1381,South,6-10 employees,$100k-$250k,20,11-20,3,Custom embroidery,Mixed,Hybrid/job costing,When costs change,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,,2,2,2,2,2,2,2,2,2,2,6-10 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,Mixed,Production Cost,South
quotes@stitchcustomscompany.example,Stitch Customs Company,Northeast,2-5 employees,Prefer not to say,12,11-20,3,Custom embroidery,Mixed,Unknown,Unknown,3,3,2,2,3,13,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,1,2,1,1,1,1,1,1,2,2-5 employees,Unknown,Veteran (11-20),Unknown,Mixed,Intended Profit,Northeast
office@summitcreativegroup140.example,Summit Creative Group #1404,Northeast,2-5 employees,Unknown,18,11-20,10,Decorated apparel,Corporate/commercial,Unknown,Before every quote,4,3,4,2,2,15,Strong Pricing System,True,False,False,False,,2,2,2,1,2,2,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Unknown,B2B,Capacity Pressure,Northeast
quotes3@prairielogoshopstudio.example,Prairie Logo Shop Studio,Midwest,Solo owner/operator,$100k-$250k,20,11-20,1,Mixed services,Small business/local orgs,Stitch-count based,When costs change,4,3,2,2,3,14,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,2,2,1,1,1,2,0,2,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,Midwest
info0@lakesidecreativestudio.example,Lakeside Creative Studio #1469,South,2-5 employees,$100k-$250k,10,6-10,10,Unknown,Mostly consumers,Informal/custom quote,Unknown,1,1,1,0,0,3,Pricing Blind Spots,False,True,True,True,,1,0,1,0,1,0,0,0,0,0,2-5 employees,$100k-$500k,Established (4-10),Informal/custom quote,Consumer,Capacity Pressure,South
info0@stitchstitchcocollecti.example,Stitch Stitch Co. Collective,South,2-5 employees,$250k-$500k,11,11-20,1,Custom embroidery,Corporate/commercial,Informal/custom quote,Annually,4,4,2,2,2,14,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,B2B,Intended Profit,South
quotes@cedarteamwearcollectiv.example,Cedar Teamwear Collective,Northeast,2-5 employees,Unknown,11,11-20,4,Custom embroidery,Mixed,Cost-plus,Rarely/never,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,1,2,1,1,1,1,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Cost-plus,Mixed,Real Labor,Northeast
contact@heritageprintstitchllc.example,Heritage Print & Stitch Llc,Midwest,Solo owner/operator,Under $50k,0,<2,2,Team/school spiritwear,Corporate/commercial,Informal/custom quote,Before every quote,1,2,1,0,1,5,Pricing Blind Spots,False,False,True,True,,0,1,1,1,0,1,0,0,0,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,B2B,Capacity Pressure,Midwest
